TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
Community Centre,Brentwood Community Centre,5107 33 ST NW,BRE,-114.137844810739,51.0975032477211,"(51.0975032477211, -114.137844810739)"
Community Centre,Crescent Heights Community Centre,1101 2 ST NW,CRE,-114.067985124182,51.061944081244,"(51.061944081244, -114.067985124182)"
Community Centre,Bridgeland / Riverside Community Centre,917 Centre Av NE,BRD,-114.039941982081,51.0500740429286,"(51.0500740429286, -114.039941982081)"
Community Centre,Sunalta Community Centre,1627 10 AV SW,SNA,-114.098334336263,51.0441743502419,"(51.0441743502419, -114.098334336263)"
Community Centre,Hillhurst/Sunnyside Community Centre,1320 5 AV NW,HIL,-114.09251724219,51.0575416351206,"(51.0575416351206, -114.09251724219)"
Community Centre,Winston Heights/Mountview Community Centre,520 27 AV NE,WIN,-114.052120589058,51.0773604702246,"(51.0773604702246, -114.052120589058)"
Hospital,Rockyview General Hospital,7007 - 14 ST SW,EAG,-114.096320699045,50.991828888017,"(50.991828888017, -114.096320699045)"
Community Centre,Fairview Community Centre,8038 Fairmount DR SE,FAI,-114.058689993552,50.982517632887,"(50.982517632887, -114.058689993552)"
Community Centre,Parkhill/Stanley Park Community Centre,4013 Stanley RD SW,PKH,-114.064761595238,51.0184781753952,"(51.0184781753952, -114.064761595238)"
Community Centre,South Calgary Community Centre,3130 16 ST SW,SOC,-114.098309380275,51.0259947219856,"(51.0259947219856, -114.098309380275)"
Community Centre,"Palliser, Bayview, Pumphill Community Centre",2323 Palliser DR SW,PAL,-114.113725759429,50.9686301439651,"(50.9686301439651, -114.113725759429)"
Community Centre,Kingsland Community Centre,505 78 AV SW,KIN,-114.074017342596,50.9829574658903,"(50.9829574658903, -114.074017342596)"
Community Centre,Parkland Community Centre,505 Parkvalley RD SE,PKL,-114.026245878198,50.9180279952265,"(50.9180279952265, -114.026245878198)"
Community Centre,Millican/Ogden/Lynnwood Community Centre,6901 20A ST SE,OGD,-114.010851362522,50.9914713595786,"(50.9914713595786, -114.010851362522)"
Community Centre,Chinook Park/Kelvin Grove/Eagle Ridge Community Centre,1015 73 AV SW,KEL,-114.084947740027,50.98759577417,"(50.98759577417, -114.084947740027)"
Community Centre,Canyon Meadows Community Centre,848 Cantabrian DR SW,CAN,-114.078844640539,50.9462137346422,"(50.9462137346422, -114.078844640539)"
Community Centre,Highland Park Community Centre,3716 2 ST NW,HPK,-114.066241060509,51.0853217006015,"(51.0853217006015, -114.066241060509)"
Community Centre,Dalhousie Community Centre,5432 Dalhart RD NW,DAL,-114.159716142934,51.1128488379008,"(51.1128488379008, -114.159716142934)"
Community Centre,Saddle Ridge Community Centre,7614 42 ST NE,SRI,-113.972858979981,51.1208434387806,"(51.1208434387806, -113.972858979981)"
Social Dev Ctr,Bridgeland Place,736 MCDOUGALL CO NE,BRD,-114.046321939189,51.0499506959126,"(51.0499506959126, -114.046321939189)"
Community Centre,Southview Community Centre,2020 33 ST SE,SOV,-113.987988455236,51.0333215361942,"(51.0333215361942, -113.987988455236)"
Community Centre,Shaganappi Community Centre,2608 14 AV SW,SHG,-114.118926310772,51.0399152539538,"(51.0399152539538, -114.118926310772)"
Social Dev Ctr,Forest Lawn,3810 17 AV SE,FLN,-113.979648754442,51.0379404373516,"(51.0379404373516, -113.979648754442)"
Library,Saddletowne Library,7556 FALCONRIDGE BV NE,MRT,-113.94782479993,51.1202880966521,"(51.1202880966521, -113.94782479993)"
Court,Alberta Court of Appeal,2600 450 1 ST SW,DNC,-114.064668088554,51.048721791746,"(51.048721791746, -114.064668088554)"
